source,airline,flight_code,departure,arrival,duration,stops,price,timestamp
Cleartrip,Air India,AI-2999,22:00,07:40,9h 40m,1 stop,10162,2025-12-28T23:51:09.327278
Cleartrip,Air India,AI-2999,22:00,08:15,10h 15m,1 stop,10162,2025-12-28T23:51:09.443654
Cleartrip,Air India,AI-2437,22:30,07:40,9h 10m,1 stop,10162,2025-12-28T23:51:09.210109
Cleartrip,Air India,AI-2437,22:30,08:15,9h 45m,1 stop,10162,2025-12-28T23:51:09.384272
Cleartrip,Air India,AI-2439,23:00,07:40,8h 40m,1 stop,10162,2025-12-28T23:51:09.149998
Cleartrip,Air India,AI-2439,23:00,08:15,9h 15m,1 stop,10162,2025-12-28T23:51:09.268253
Cleartrip,IndiGo,6E-247,14:00,19:15,5h 15m,1 stop,10224,2025-12-28T23:51:09.567488
Cleartrip,IndiGo,6E-6776,15:30,20:25,4h 55m,1 stop,10224,2025-12-28T23:51:09.510011
Cleartrip,IndiGo,6E-6624,16:15,21:40,5h 25m,1 stop,10224,2025-12-28T23:51:09.684704
Cleartrip,IndiGo,6E-6643,18:05,23:25,5h 20m,1 stop,10224,2025-12-28T23:51:09.629218
Cleartrip,Air India,AI-2933,15:30,01:20,9h 50m,1 stop,10268,2025-12-28T23:51:09.743919
Cleartrip,Air India,AI-2985,19:40,11:00,15h 20m,1 stop,10469,2025-12-28T23:51:10.038181
Cleartrip,Air India,AI-2957,20:30,11:00,14h 30m,1 stop,10469,2025-12-28T23:51:09.978995
Cleartrip,Air India,AI-2999,22:00,11:00,,1 stop,10469,2025-12-28T23:51:09.919601
Cleartrip,Air India,AI-2437,22:30,11:00,12h 30m,1 stop,10469,2025-12-28T23:51:09.859506
Cleartrip,Air India,AI-2439,23:00,11:00,,1 stop,10469,2025-12-28T23:51:09.802317
Cleartrip,Air India,AI-2933,15:30,20:30,,1 stop,10518,2025-12-28T23:51:10.098151
Cleartrip,Air India,AI-2571,05:45,10:50,5h 5m,1 stop,10676,2025-12-28T23:51:10.154671
Goibibo,IndiGo,,17:15,22:50,05 h 35 m,1 stop via Goa (North),10708,2025-12-28T23:48:58.165293
Cleartrip,Akasa Air,QP-1608,15:00,00:45,9h 45m,1 stop,10875,2025-12-28T23:51:10.277921
Cleartrip,Akasa Air,QP-1809,18:10,00:45,6h 35m,1 stop,10875,2025-12-28T23:51:10.216695
Cleartrip,Air India,AI-9461,15:00,01:20,10h 20m,1 stop,10922,2025-12-28T23:51:10.336932
Cleartrip,Air India,AI-9461,15:00,07:40,16h 40m,1 stop,10922,2025-12-28T23:51:10.397729
Cleartrip,Air India,AI-9461,15:00,08:15,17h 15m,1 stop,10922,2025-12-28T23:51:10.458389
Cleartrip,Air India,AI-2525,06:10,13:40,7h 30m,1 stop,10973,2025-12-28T23:51:10.578490
Cleartrip,Air India,AI-2833,07:30,13:40,6h 10m,1 stop,10973,2025-12-28T23:51:10.515933
Cleartrip,Air India,AI-9484,20:10,01:20,5h 10m,1 stop,11018,2025-12-28T23:51:10.640789
Cleartrip,Air India,AI-2963,09:00,19:25,10h 25m,1 stop,11075,2025-12-28T23:51:10.932416
Cleartrip,Air India,AI-2425,10:30,17:20,6h 50m,1 stop,11075,2025-12-28T23:51:10.693846
Cleartrip,Air India,AI-2425,10:30,19:25,8h 55m,1 stop,11075,2025-12-28T23:51:10.811090
Cleartrip,Air India,AI-2425,10:30,20:30,,1 stop,11075,2025-12-28T23:51:10.865523
Cleartrip,Air India Express,IX-1069,17:10,01:25,8h 15m,1 stop,11075,2025-12-28T23:51:10.751938
Cleartrip,IndiGo,6E-2172,13:15,19:35,6h 20m,1 stop,11185,2025-12-28T23:51:10.988257
Cleartrip,Air India,AI-2833,07:30,18:15,10h 45m,1 stop,11234,2025-12-28T23:51:11.045606
Goibibo,Air India,AI 2417,13:00,15:55,02 h 55 m,Non stop,11277,2025-12-28T23:48:58.309613
Cleartrip,Air India,AI-2941,16:30,01:20,8h 50m,1 stop,11296,2025-12-28T23:51:11.162329
Cleartrip,IndiGo,6E-6718,07:10,12:20,5h 10m,1 stop,11310,2025-12-28T23:51:11.221836
Cleartrip,Air India,AI-2513,06:10,14:05,7h 55m,1 stop,11533,2025-12-28T23:51:11.282155
Cleartrip,Air India,AI-2542,09:40,20:55,11h 15m,1 stop,11533,2025-12-28T23:51:11.343660
Cleartrip,IndiGo,6E-6828,02:30,08:15,5h 45m,1 stop,11590,2025-12-28T23:51:11.522168
Cleartrip,IndiGo,6E-6724,14:30,20:10,5h 40m,1 stop,11590,2025-12-28T23:51:11.461999
Cleartrip,IndiGo,6E-190,17:30,22:40,5h 10m,1 stop,11590,2025-12-28T23:51:11.401489
Cleartrip,IndiGo,6E-434,12:20,17:55,5h 35m,1 stop,11605,2025-12-28T23:51:11.581991
Cleartrip,Air India,AI-2885,02:10,09:00,6h 50m,1 stop,11622,2025-12-28T23:51:11.643686
Cleartrip,Air India,AI-2467,09:55,20:45,10h 50m,1 stop,11622,2025-12-28T23:51:11.757835
Cleartrip,Air India,AI-2483,12:10,20:45,8h 35m,1 stop,11622,2025-12-28T23:51:11.699043
Cleartrip,Air India,AI-2560,07:10,14:05,6h 55m,1 stop,11624,2025-12-28T23:51:11.873852
Cleartrip,Air India,AI-2899,12:30,20:55,8h 25m,1 stop,11624,2025-12-28T23:51:11.930568
Cleartrip,Air India,AI-544,16:10,20:55,4h 45m,1 stop,11624,2025-12-28T23:51:11.814353
Cleartrip,SpiceJet,SG-664,15:40,03:40,,1 stop,11695,2025-12-28T23:51:11.989274
Cleartrip,Air India,AI-2483,12:10,18:15,6h 5m,1 stop,11883,2025-12-28T23:51:12.047738
Cleartrip,Air India,AI-415,06:20,12:05,5h 45m,1 stop,11884,2025-12-28T23:51:12.107405
Goibibo,Air India Express,IX 2964,14:45,17:40,02 h 55 m,Non stop,12421,2025-12-28T23:48:58.327363
Cleartrip,Air India,AI-2945,11:00,17:20,6h 20m,1 stop,12459,2025-12-28T23:51:12.481154
Cleartrip,Air India,AI-1785,12:00,17:20,5h 20m,1 stop,12459,2025-12-28T23:51:12.222812
Cleartrip,Air India,AI-1785,12:00,19:25,7h 25m,1 stop,12459,2025-12-28T23:51:12.658091
Cleartrip,Air India,AI-2951,13:20,19:25,6h 5m,1 stop,12459,2025-12-28T23:51:12.425183
Cleartrip,Air India,AI-2951,13:20,20:30,7h 10m,1 stop,12459,2025-12-28T23:51:12.599682
Cleartrip,Air India,AI-2441,14:00,19:25,5h 25m,1 stop,12459,2025-12-28T23:51:12.288149
